0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,,,SIC  3312,
,Annual,,,,,,,,,,,,,,Annual,,,,,,,,,,,,,,,,
Year,,January,February,March,April,May,June,July,August,September,October,November,December,Year,,January,February,March,April,,May,,June,,July,,August,September,October,November,December
,Average,,,,,,,,,,,,,,Average,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1965,.9,.6,.5,.6,,.6,,.7,,.7,,.7,1.8,3.1,.7,.4,.3
1961,3.5,4.0l,3.4,3.5,5.1,5.4,3.9,3.0,3.3,2.8,2.2,2.0,3.2,1966,1.1,.5,.5,.7,,.6,,.7,,.8,,.8,2.0,3.7,1.3,.7,.5
1962,2.6,3.8!,2.7,2.1,1.5,1.7,2.1,2.9,3.2,2.4,2.7,3.0,2.8,1967,.8,.6,.5,.6,,.6,,.6,,.7,,6,1.2,2.4,.9,.6,.4
1963,3.2,4.01,4.7,4.7,4.7,3.8,2.9,1.6,1.7,2.0,2.5,2.7,3.0,1968,1.1,8,.7,.8,,.9,,1.0,,1.0,,1.3,2.7,2.5,.9,.5,.4
1964,2.9,3.91,3.6,3.0,3.1,3.2,3.6,2.5,2.6,2.9,2.0,2.1,1.7,1969,1.3,.6,.7,8,,.8,,.9,,1.1,,1.1,2.5,3.9,1.4,8,.7
1965,2.3,2.4,2.4,2.5,2.1,2.2,4.5,2.1,1.6,1.4,1.3,2.5,2.6,1970,1.1,1.1,.8,.7,,.9,,.9,,.8,,.9,1.8,2.6,1.1,.5,.5
1966,2.9,4.1,3.6,3.7,2.9,3.0,5.1,2.0,2.4,2.5,1.9,1.7,1.4,,,,,,,,,,,,,,,,,,
1967,2.5,2.1,2.1,2.1,2.0,2.6,4.1,2.3,2.6,2.6,2.5,2.6,2.3,1971,.7,.5,.5,.7,,.7,,.7,,.9,,1.2,1.2,.7,.5,.3,.2
1968,3.0,3.1,2.7,2.6,2.6,3.4,5.2,1.7,1.7,2.2,3.2,3.6,3.4,1972,.6,.3,.4,.4,,.4,,.4,,.5,,.5,1.2,1.2,.6,.4,.3
1969,3.3,4.1,3.7,3.6,3.0,3.7,5.9,2.4,2.8,3.1,2.8,2.0,1.9,1973,.9,.5,.5,.5,,.5,,.7,,.7,,.7,2.3,1.9,.9,.6,.4
,See  footnotes  at  end  of  tables.,,,,,,,,1 2 3,,,,,,,,,,,,,,,,,,,,,,
