0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,,,,,,,,,,,MANUFACTURING_____________________________________________,,,,,,,,,,,,,,,,SIC  19
,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,,,,,,July,August,,October,,,,,,,January,February,March,April,May,June,July,August,September,"Oc+,'ber",November,December
,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1965,40.4,39.9,39.2,38.6,38.4,38.9,39.4,40.2,40.6,41.6,42.6,43.1,42.8,,,1960,108.39,107.94,107.83,107.94,106.37,107.68,106.39,107.18,107.86,110.56,109.20,109.88,109.89
1966,52.8,44.5,45.7,47.2,48.7,49.6,50.8,51.6,54.5,57.1,59.2,61.8,63.1,,,,,,,,,,,,,,,,
1967,73.8,63.9,67.0,69.0,68.9,69.5,70.5,73.1,75.6,79.2,81.8,83.3,84.1,,,1961,113.03,111.38,111.38,111.79,111.66,111.38,111.38,111.78,112.88,113.85,115.37,116.34,116.62
1968,87.1,84.1,85.0,85.3,85.5,85.8,87.4,88.6,90.0,90.1,80.2,92.0,90.7,,,1962,116.60,114.67,115.36,116.05,116.75,115.77,115.77,114.49,114.93,117.01,116.85,118.53,120.64
1969,84.2,91.2,90.2,90.3,88.6,87.6,84.6,85.8,82.3,80.4,78.2,76.8,74.6,,,1963,120.42,120.47,120.18,119.02,116.64,118.78,120.60,119.54,120.72,122.13,122.36,120.88,124.09
1970,61.4,72.3,70.2,67.6,64.0,61.9,61.6,59.7,59.5,58.5,56.0,53.9,51.3,,,1964,122.72,121.88,120.39,120.50,121.10,120.90,122.91,121.10,122.21,122.31,124.95,125.76,128.44
,,,,,,,,,,,,,,,,1965,131.15,128.75,127.41,129.17,127.41,129.38,130.42,132.51,131.88,131.57,133.98,133.98,137.28
1971,44.2,50.3,48.1,46.5,45.2,43.5,43.8,42.8,42.7,42.8,42.2,41.7,41.0,,,1966,133.77,135.79,133.35,132.09,132.62,133.67,132.62,131.88,132.51,134.20,134.20,135.04,135.58
1972,42.0,40.6,40.3,39.7,40.0,40.8,42.1,42.6,43.6,41.0,41.4,46.0,46.4,,,1967,132.61,134.51,130.41,130.31,129.68,131.57,129.15,131.65,132.29,135.78,134.18,136.50,137.15
1973,43.9,46.0,46.1,45.7,45.0,43.8,43.6,43.6,43.3,42.9,42.6,41.3,42.7,,,1968,135.29,132.44,136.92,134.05,130.01,133.63,134.78,131.61,134.05,137.76,139.68,138.44,140.87
