0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,SIC  366
,Annual,,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,February,March,April,,May,,June,,July,,August,Septembei,October,November,,,,January,February,March,April,May,June,July,August,September,October,November,December
,Average,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,3.1,2.3,1.9,2.9,,2.6,,3.2,,3.1,,2.6,4.4,5.3,3.7,3.2,2.5,1967,176.3,167.9,174.3,175.4,176.0,175.3,174.7,175.6,176.1,175.6,180.2,182.4,182.5
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,2.9,3.2,2.8,2.6,,2.8,,3.1,,1.9,,2.6,3.2,4.5,4.0,2.6,2.0,1968,179.8,182.0,181.6,181.6,177.6,176.4,178.4,175.9,178.2,180.2,181.3,182.7,181.8
1968,3.1,2.7,2.9,2.5,,2.5,,2.6,,3.1,,2.7,4.1,5.2,3.8,3.1,1.9,1969,185.3,180.0,181.1,180.6,181.1,181.8,182.5,184.0,187.7,188.7,191.2,192.8,191.9
1969,2.8,2.8,2.2,2.8,,2.8,,2.7,,2.7,,2.1,4.0,4.3,3.0,2.0,1.2,1970,179.5,190.6,185.6,183.6,182.1,180.8,182.1,180.3,178.7,177.3,173.0,170.6,168.8
1970,1.9,1.7,1.5,1.6,,1.8,,1.8,,1.7,,1.6,2.4,2.9,2.3,1.9,1.3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1971,159.7,165.8,163.9,162.6,159.5,159.6,159.2,157.9,158.8,158.8,157.7,156.7,155.6
1971,2.1,1.6,1.7,1.5,,1.6,,1.9,,2.0,,2.0,3.6,3.5,2.5,1.8,1.3,1972,158.0,154.1,154.1,154.0,154.5,155.4,156.6,1 56.4,158.4,160.9,162.8,163.7,164.8
1972,2.5,2.0,1.9,2.1,,2.2,,2.4,,2.5,,2.2,3.6,3.9,2.9,2.4,2.1,1973,169.3,164.6,165.3,164.9,165.6,165.8,168.1,169.1,170.4,172.1,173.8,175.4,176.5
1973,3.0,2.5,2.5,2.6,,2.6,,3.0,,3.2,,3.1,4.5,5.2,3.1,2.5,1.4,1974,171.1,175.6,175.2,174.7,173.6,172.5,172.7,171.3,149.3,171.9,168.3,174.7,172.9
1974,2.4,2.2,2.2,2.5,,2.5,,2.8,,2.6,,2.6,3.6,3.0,2.1,1.8,1.2,1975,,170.4,164.5,163.9,158.8,153.7,153.0,,,,,,
1975,,1.1,.7,.7,,.8,,1.2,,1.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PRODUCTION  WORKERS  -  IN THOUSANDS,,,,,,,,
,,,,,,LAYOFFS  PER  100  EMPLOYEES,,,,,,,,,,,,1958,166.1,172.5,168.2,165.9,162.1,159.4,160.1,159.4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,162.3,166.3,170.4,172.6,174.4
1958,3.3,6.7,5.0,5.4,,3.9,,2.3,,2.9,,"1,5",2.6,1.2,2.4,2.1,3.8,1959,187.2,176.1,178.1,178.3,178.2,179.6,183.4,184.5,188.8,194.0,198.9,202.5,204.2
1959,2.3,3.1,2.7,4.3,,2.3,,2.1,,1.2,,.8,.5,.8,2.3,4.0,3.6,1960,206.5,204.2,204.3,203.9,202.0,199.8,202.2,203.4,207.4,211.8,211.1,214.7,213.6
1960,3.8,2.8,4.4,6.5,,4.7,,4.3,,3.9,,1.5,2.3,1.2,2.9,5.3,5.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1961,209.0,213.0,209.6,207.5,205.6,204.4,204.4,201.4,204.3,207.5,213.1,217.2,219.4
1961,2.5,4.6,3.2,3.9,,3.1,,4.1,,1.2,,.8,.6,.5,.9,3.5,3.7,1962,229.5,221.8,225.6,227.6,227.4,227.6,228.0,226.1,231.0,233.2,234.8,235.6,235.8
1962,2.4,2.3,3.6,3.5,,1.4,,2.1,,1.7,,1.8,1.6,1.0,2.8,2.7,3.7,1963,218.4,234.5,231.1,227.6,223.6,219.5,216.6,212.1,212.8,213.1,213.0,207.3,209.3
1963,2.2,4.0,1.7,3.6,,2.3,,1.6,,1.1,,1.1,1.5,1.7,1.5,3.0,3.4,1964,201.4,208.7,204.2,202.4,200.3,196.6,196.5,197.3,197.8,200.3,202.7,204.6,205.3
1964,2.2,2.8,3.4,2.8,,2.4,,3.5,,1.1,,1.7,.8,1.5,1.3,2.3,2.4,1965,209.2,204.8,204.8,204.6,205.6,205.1,205.9,205.4,207.5,211.4,214.9,218.4,222.3
1965,1.2,1.9,1.4,2.3,,1.4,,.8,,1.4,,1.5,.6,.7,.3,.7,1.0,1966,235.2,223.8,225.9,228.7,231.1,233.8,236.4,234.5,238.5,242.1,244.0,246.8,236.2
,See  fo o tn o te s   a t  e n d   o f  ta b le s .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2 8 3,,,,,,,,,,,,,,
