0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
,,,,,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,SIC  3391,
,Annual,,,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Year,,January,February,March,April,,May,,June,,Ju«y,,August,September,October,November,December,Year,,January,February,March,April,May,June,July,August,September,October,November,December
,Average,,,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,.6,,,,,,,,,,
1971,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.5,2.5,2.2,2.4,,2.4,,2.6,,2.5,,2.9,3.3,2.9,2.4,1.8,2.1,1973,49.8,48.1,48.6,48.9,49.0,49.8,50.2,49.7,49.7,50.2,51.3,51.9,50.5
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.6,2.3,3.1,,3.2,,2.8,,3.0,,3.3,5.2,3.4,3.5,2.9,2.5,1974,52.1,50.2,50.8,51.2,52.0,52.2,52.6,52.5,52.6,52.5,52.7,53.2,52.8
1973,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3.2,,3.1,,3.2,,3.1,4.9,4.1,3.4,3.7,3.9,1975,,51.5,50.8,50.0,49.3,49.0,48.0,,,,,,
1974,3.5,3.3,3.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,6.0,4.0,4.1,,2.9,,2.8,,3.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,WOMEN  EMPLOYEES  -   IN THOUSANDS,,,,,,,
,,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,,,,,1958,,3.1,,,2.8,,,2.7,,,2.7,,
1958,.5,.6,.4,.4,,.4,,.4,,.5,,.5,.7,.8,.8,.5,.4,1959,2.7,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.6,2.7,2.6,2.6
1959,1.0,8,.7,1.1,,1.2,,1.2,,1.1,,.9,1.2,1.4,8,.6,.6,1960,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.5,2.5,2.5
1960,.7,.8,.8,.7,,.8,,.7,,.9,,.6,1.1,1.0,.6,.4,.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1961,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.4,2.4
1961,.8,.5,.5,.7,,.7,,.6,,1.0,,.6,1.1,1.5,.9,.8,.6,1962,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
1962,.8,.7,.6,1.0,,.9,,8,,.8,,.8,1.1,1.1,.7,.5,.4,1963,2.4,2.4,2.4,2.4,2.4,2.5,2.4,2.4,2.4,2.3,2.3,2.3,2.3
1963,.7,.4,.5,.5,,.7,,.7,,.6,,.6,1.1,1.4,.7,.5,.4,1964,2.2,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
1964,.8,.6,.6,.6,,.7,,.7,,.8,,.8,1.3,1.7,.8,.7,.5,1965,2.3,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.4
1965,1.2,.8,.8,1.0,,1.1,,1.0,,1.1,,1.2,1.8,2.6,1.3,1.1,1.0,1966,2.6,2.5,2.5,2.4,2.5,2.5,2.6,2.7,2.7,2.7,2.7,2.8,2.9
1966,1.8,1.4,1.3,1.7,,1.8,,1.7,,1.7,,1.7,2.7,3.4,1.9,1.4,1.1,1967,3.0,2.9,2.9,2.9,2.9,2.9,3.0,2.9,3.1,3.1,3.0,3.1,3.1
