0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,September,October,,
,,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1958,"11,997","12,387","1 2 ,1 1 0","11,863","11,628","11,561","11,730","11,670","11,984","12,277","12,081","12,364","12,311",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1960,89.72,91.08,89.95,89.72,88.65,90.40,90.63,90.17,89.55,89.89,90.12,89.21,88.39
1959,"12,603","12,236","12,295","12,441","12,514","12,651","12,873","12,804","12,569","12,766","12,587","12,665","12,831",,,,,,,,,,,,,,,
1960,"12,586","12,765","12,799","12,740","12,656","12,622","12,659","12,487","12,628","12,742","12,554","12,350","12,035",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1961,92.34,89.08,88.92,89.54,90.39,91.71,93.03,92.80,92.86,92.34,94.54,95.82,96.22
,,,,,,,,,,,,,,,1962,96.56,94.49,94.80,95.91,96.56,96.80,97.27,96.39,95.75,97.27,96.72,97.36,98.42
1961,"12,083","11,770","11,671","11,699","11,749","11,916","12,125","12,061","12,315","12,446","12,424",12.463,"12,355",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1963,99.63,97.44,97.20,98.09,97.36,99.23,100.37,99.63,98.42,100.53,100.78,100.85,1 0 2 .6 6
1962,"12,488","12,173","12,244","12,301","12,404","12,439","12,581","12,466","12,617","12,831","12,747","12,604","12,444",,,,,,,102.06,,103.73,,,,,,
,,,,,,,,,,,,,,,1964,102.97,99.90,100.75,101.40,,102.97,,102.97,103.07,104.19,102.82,104.30,107.07
1963,"12,555","12,280","12,265","12,330","12,406","12,502","12,620","12,537","12,671","12,887","12,849","12,704","12,604",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1965,107.53,105.52,106.19,106.71,105.82,107.53,107.79,107.01,106.45,108.09,109.03,109.71,110.92
1964,"12,781","12,406","12,454","12,513","12,564","12,636","12,814","12,738","12,937","13,254","12,900","13,102","13,058",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1966,112.34,1 1 0 .0 0,110.95,110.95,111.24,112.47,112.74,111.38,111.78,114.13,113.85,113.99,114.40
1965,"13,434","12,918","12,987","13,080","13,148","13,226","13,462","13,419","13,607","13,846","13,835","13,859","13,825",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1967,114.90,113.42,1 1 1 .8 8,112.44,112.56,113.52,114.49,113.65,114.77,116.85,116.28,117.50,119.60
1966,"14,297","13,678","13,847","13,956","14,056","14,165","14,448","14,260","14,525","14,696","14,696","14,667","14,566",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1968,122.51,117.60,119.36,120.18,118.21,122.29,123.30,1 2 2 .1 0,121.69,125.66,125.77,125.97,127.82
1967,"14,308","14,367","14,319","14,273","14,178","14,135","14,328","14,074","14,346","14,387","14,342","14,505","14,441",,,,126.05,,,,,,,,,,,
,,,,,,,,,,,,,,,1969,129.51,,124.80,127.39,127.58,128.61,130.06,128.88,129.92,132.84,132.28,132.36,134.89
1968,"14,514","14,231","14,254","14,281","14,328","14,380","14,648","14,443","14,594","14,774","14,749","14,761","14,722",,1970,133.73,131.60,130.94,132.40,131.80,132.93,134.74,134.46,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,133.73,135.43,133.45,134.58,138.40
1969,"14,767","14,533","14,610","14,670","14,635","14,656","14,957","14,700","15,013","15,040","14,954","14,758","14,673",,,,,,,,,,,,,,,
1970,"14,020","14,395","14,338","14,377","14,229","14,041","14,223","13,933","14,067","14,178","13,533","13,351","13,576",,1971,142.44,138.20,138.29,139.74,139.44,142.00,143.51,142.09,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,141.69,143.28,143.60,144.72,150.18
,,,,,,,,,,,,,,,1972,154.69,147.66,149.17,150.72,152.69,153.09,155.01,153.12,154.28,158.26,157.90,159.90,163.15
1971,"13,467","13,352","13,323","13,293","13,312","13,406","13,580","13,302","13,523","13,739","13,626","13,619","13,530",,1973,166.06,159.60,161.59,162.38,163.61,164.02,165.65,165.24,164.84,169.74,168.91,170.54,174.28
