0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
SIC  19,,,,,,,,,,,,,MANUFACTURING,,,,,,,,,,,,,,,
,Annual,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
Y ear,,January,February,March,April,May,June,July,August,Septembei,October,November,,,,,January,Februaiy,,,,,July,August,September,October,November,
,Average,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
1965,30.5,29.9,29.6,29.2,29.2,29.6,29.8,30.4,30.5,30.9,31.8,32.3,32.6,,1969,3.36,3.29,3.31,3.30,3.35,3.35,3.38,3.36,3.39,3.39,3.40,3.44,3.44
1966,38.6,33.6,34.2,35.4,36.1,36.3,36.8,37.1,39.5,41.4,42.7,44.5,45.0,,1970,3.54,3.45,3.45,3.49,3.51,3.52,3.53,3.54,3.57,3.58,3.58,3.65,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67
1967,55.5,45.6,48.3,50.0,50.6,51.0,52.9,54.9,58.1,60.5,63.4,64.8,65.9,,,,,,,,,,,,,,,
1968,67.5,66.1,66.7,67.1,66.9,66.8,67.4,68.3,69.7,69.7,59.8,71.3,70.1,,,3.71,,,,,,,,,,,,
,,,,,,,,,,,,,,,1971,,3.70,3.68,3.66,3.68,3.68,3.72,3.75,3.72,3.72,3.74,3.72,3.81
1969,64.6,71.0,70.0,69.9,68.2,67.4,64.3,65.5,62.9,61.4,59.9,58.4,56.7,,1972,4.01,3.81,3.88,3.89,3.99,3.99,4.01,4.03,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.06,4.08,4.11,4.11,4.15
1970,45.6,54.5,52.8,50.6,47.9,46.2,45.9,44.3,44.1,43.1,40.8,39.3,37.7,,1973,4.31,4.12,4.14,4.14,4.17,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4.22,4.23,4.32,4.37,4.44,4.47,4.60,4.59
,,,,,,,,,,,,,,,1974,4.72,4.60,4.56,4.58,4.62,4.72,4.71,4.70,4.73,4.81,4.82,4.89,4.98
1971,32.7,37.5,36.2,35.0,33.7,32.2,32.2,31.7,31.7,31.6,30.8,30.1,29.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1975,,5.04,5.09,5.17,5.17,5.25,5.27,,,,,,
1972,30.1,29.3,28.9,28.4,28.5,29.0,30.0,30.6,31.4,28.6,28.9,33.6,33.8,,,,,,,,,,,,,,,
1973,32.3,33.6,33.4,33.0,32.6,32.1,31.9,32.1,31.7,31.8,32.1,30.8,32.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,PRODUCTION-WORKER  AVERAGE  WEEK,,,,,,,,
1974,31.7,31.8,31.7,31.8,31.3,31.6,32.1,32.1,32.3,32.1,31.4,30.7,31.0,,,,,,,,,,,,,,,
