0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,August,Septembei,October,,,,,Febmaiy,April,,May,June,July,,August,September,October,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,WOMEN  - ACCESSIONS  PER  1 0 0   WOMEN,,,,,,,,
SIC  25 -,,FURNITURE AND  FIXTURES  (Con.),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 9 5 6,2 6 7 .12 7 1 .9,2 7 2 .6,2 6 9 .0,2 6 5 .0,2 6 1 .0,2 6 0 .7,,2 5 7 .9,2 6 5 .2,2 7 0 .3,2 7 2 .5,
,,,,,,MEN  -,,QUITS  PER  1 0 0   MEN,,,,,,,,,,,,,,,,,,,2 6 8 .92 6 9 .8
,,,,,,,,,,,,,,,19 5 7,2 6 7 .62 6 3 .0,2 6 5 .0,2 6 5 .3,2 6 5 .5,2 6 1 .4,2 6 4 .1,,2 6 2 .6,2 7 0 .9,2 7 3 .5,2 7 4 .8,2 7 1 .22 7 4 .3
1 9 5 8,,1.0,,,,.9,,,1.3,,,1.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 9 5 8,2 6 0 .32 6 5 .1,2 6 0 .4,2 5 5 .7,2 5 0 .5,2 4 9 .0,2 5 0 .5,,2 5 1 .9,2 6 0 .5,2 6 8 .1,2 7 3 .1,2 6 7 .6  2 7 1 .5
1 9 5 9,,1.4,,,,1 .9,,,2 .1,,,2 .2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1 9 5 9,2 7 7 .82 7 2 .4,2 7 4 .7,2 7 4 .2,2 7 4 .5,2 7 4 .0,2 7 5 .9,,2 7 5 .3,2 7 9 .5,2 8 2 .8,2 8 4 .5,2 8 3 .22 8 2 .0
1 9 6 0,,1.7,,,,2 .0,,,1.9,,,1.7,,,1 9 6 0,2 7 1 .92 7 8 .5,2 7 7 .2,2 7 6 .0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2 7 5 .7,2 7 2 .4,2 7 1 .9,,2 6 5 .8,2 7 2 .5,2 7 2 .3,2 7 3 .2,2 5 8 .92 6 8 .8
196 1,,1.0,,,,1 .2,,,1 .5,,,1.9,,,1961,2 6 2 .02 5 2 .2,2 5 4 .0,2 5 4 .0,2 5 6 .7,,,,,,,,
