0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,,,,,,,,,,,,Annual,,,,,,,,,,,,
,,,,,,,,,,,,November,,,,,,,,,,,,September,October,November,December
,,,,,,,,,,,,,,,Average,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIC  372 -,,AIRCRAFT AND  PARTS  (Con.),,,,,,,,,,,,,,,,,,NEW  HIRES PER  100  EMPLOYEES,,,,,,,
1970,2.7,3.5,2.9,25,2.5,2.4,2.6,2.6,2.6,2.7,2.6,2.6,2.6,1974,1.9,2.2,1.8,2.0,1.8,1.9,1.9,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1.8,2.4,2.1,2.0,1.6,1.4
,,,,,,,,,,,,,,1975,,2.4,2.4,4.0,2.2,2.3,2.3,,,,,,
1971,2.3,2.1,1.7,1.8,1.6,1.9,2.1,2.0,2.6,2.7,2.8,2.9,3.1,,,,,,,,,,,,,,
1972,3.0,2.7,2.8,3.1,2.9,2.6,3.1,2.6,2.7,3.4,3.4,3.5,3.6,,,,,,,QUITS  PER  100  EMPLOYEES,,,,,,,
1973,3.4,3.1,3.5,3.2,3.2,3.2,3.1,3.1,3.0,3.7,3.5,4.1,4.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1958,.9,.9,.7,.7,.7,.9,.9,.8,1.1,1.5,1.0,.8,.6
1974,3.2,3.1,3.2,3.2,2.4,3.2,3.4,3.4,3.1,3.4,3.3,3.3,3.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1959,1.2,.9,.9,1.1,1.1,1.2,1.3,1.3,1.4,2.0,1.3,.9,.7
1975,,2.9,29,2.6,2.6,2.3,2.9,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1960,1.0,.9,.9,.9,.9,1.0,1.2,1.0,1.3,1.6,1.0,.7,.6
,,,,,,ACCESSIONS  PER  100  EMPLOYEES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1961,.9,.8,.7,.8,.8,.8,.9,.9,1.1,1.6,1.0,.8,.7
1958,2.4,1.6,2.1,2.3,2.2,2.3,3.2,2.6,2.6,2.9,2.5,2.1,1.9,1962,1.1,1.0,1.0,.9,1.0,1.1,1.1,1.1,1.5,1.8,1.1,8,.6
1959,2.3,2.6,2.2,2.2,2.1,2.3,3.5,2.8,2.4,2.3,1.8,1.7,1.5,1963,1.0,9,.8,8,.8,.9,.9,1.0,1.3,1.7,1.0,.7,.6
